               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.042056,            0.036761,           0.0035992,             0.79744,             0.60045,             0.68761,             0.33259,            0.049915,            0.030985,           0.0083376,            0.007129,            0.007129,            0.007129
                  89,            0.041464,            0.036286,           0.0034092,             0.79944,             0.60868,              0.6928,             0.33434,            0.049973,            0.031458,           0.0083952,            0.007096,            0.007096,            0.007096
                  90,            0.040884,            0.033067,           0.0034441,             0.79478,              0.6394,             0.69263,             0.33668,            0.050484,            0.031803,           0.0078673,            0.007063,            0.007063,            0.007063
                  91,            0.041169,             0.03422,           0.0033485,             0.78326,             0.63222,              0.6982,             0.34043,            0.049893,            0.031741,           0.0074546,             0.00703,             0.00703,             0.00703
                  92,            0.040571,            0.033061,           0.0036112,             0.79565,             0.61053,             0.68661,             0.33677,            0.049542,            0.031573,           0.0080765,            0.006997,            0.006997,            0.006997
                  93,            0.041245,            0.034261,           0.0034617,             0.77501,             0.61665,             0.68456,             0.33845,            0.050362,            0.031686,           0.0086637,            0.006964,            0.006964,            0.006964
                  94,              0.0423,            0.034725,           0.0033262,             0.78055,             0.65806,             0.70875,             0.35373,            0.049084,            0.031586,           0.0074164,            0.006931,            0.006931,            0.006931
                  95,            0.040697,             0.03375,           0.0032175,             0.77601,              0.6404,             0.69659,             0.35405,            0.049722,            0.031541,           0.0083702,            0.006898,            0.006898,            0.006898
                  96,            0.040499,            0.032806,           0.0033937,             0.75822,             0.65553,             0.69896,             0.36589,            0.048877,            0.031942,           0.0076834,            0.006865,            0.006865,            0.006865
                  97,            0.041808,            0.033918,           0.0032738,             0.77979,             0.65874,             0.71736,             0.35638,             0.04856,            0.031334,           0.0072779,            0.006832,            0.006832,            0.006832
                  98,            0.040685,            0.032965,           0.0031906,             0.77844,             0.64772,             0.69054,               0.348,             0.04855,            0.031178,           0.0073041,            0.006799,            0.006799,            0.006799
                  99,            0.039721,            0.032478,           0.0032755,             0.78902,             0.66659,             0.72638,             0.35575,            0.048818,            0.030979,           0.0075477,            0.006766,            0.006766,            0.006766
                 100,            0.042125,            0.035558,           0.0030472,             0.81579,             0.62621,             0.69725,             0.34602,            0.048625,            0.031484,           0.0074741,            0.006733,            0.006733,            0.006733
                 101,            0.039928,            0.033365,           0.0030539,             0.77763,             0.65442,             0.70753,             0.34784,            0.048987,            0.031953,           0.0078179,              0.0067,              0.0067,              0.0067
                 102,            0.040417,            0.032845,           0.0032479,             0.80068,             0.64241,             0.72705,             0.35856,            0.048468,            0.031678,           0.0077535,            0.006667,            0.006667,            0.006667
                 103,            0.041098,            0.034008,           0.0027671,             0.77076,              0.6637,             0.71599,             0.35557,            0.048525,            0.031429,           0.0079356,            0.006634,            0.006634,            0.006634
                 104,            0.040676,            0.032611,           0.0031383,             0.78108,             0.68942,             0.72566,                0.36,            0.047976,            0.031556,           0.0075774,            0.006601,            0.006601,            0.006601
                 105,            0.041026,             0.03334,           0.0034985,             0.77483,             0.65897,             0.71115,             0.36379,            0.048293,            0.032059,           0.0074508,            0.006568,            0.006568,            0.006568
                 106,             0.04006,            0.033634,           0.0029914,             0.79483,             0.61685,             0.70113,             0.35866,            0.048674,            0.031519,           0.0075018,            0.006535,            0.006535,            0.006535
                 107,              0.0412,            0.033996,           0.0030561,              0.8059,              0.6371,             0.71664,             0.36298,            0.048546,            0.031618,           0.0077121,            0.006502,            0.006502,            0.006502
                 108,            0.040193,            0.033495,           0.0028678,             0.79863,             0.63636,             0.69924,             0.35718,            0.048866,            0.032101,           0.0070202,            0.006469,            0.006469,            0.006469
                 109,            0.039802,            0.031526,           0.0024883,             0.79144,              0.6504,             0.71894,             0.36204,            0.049042,             0.03201,           0.0076354,            0.006436,            0.006436,            0.006436
                 110,            0.040213,            0.034565,            0.002816,             0.79494,              0.6431,             0.70038,             0.36191,            0.048532,            0.032008,           0.0078146,            0.006403,            0.006403,            0.006403
                 111,            0.040593,            0.033198,           0.0028481,             0.79089,             0.65321,             0.70421,              0.3631,            0.049116,            0.031748,           0.0076427,             0.00637,             0.00637,             0.00637
                 112,            0.039182,            0.031585,           0.0028958,             0.78933,             0.65317,             0.69576,             0.35636,            0.048545,            0.032236,           0.0071724,            0.006337,            0.006337,            0.006337
                 113,            0.039053,            0.031879,           0.0027322,             0.78936,             0.67634,             0.71575,             0.35856,            0.048456,            0.032191,           0.0072645,            0.006304,            0.006304,            0.006304
                 114,            0.039741,            0.032727,           0.0025321,             0.80693,             0.65708,             0.72866,             0.36157,            0.048805,            0.030915,            0.007994,            0.006271,            0.006271,            0.006271
                 115,            0.040194,            0.033328,           0.0027437,             0.77118,             0.65917,             0.70406,             0.34968,             0.04853,            0.032459,           0.0081911,            0.006238,            0.006238,            0.006238
                 116,            0.039948,            0.031827,           0.0027873,             0.80601,             0.65111,             0.70836,             0.35409,             0.04931,            0.032176,           0.0076549,            0.006205,            0.006205,            0.006205
                 117,            0.038876,            0.032676,           0.0026076,             0.81245,             0.64739,             0.71245,             0.35753,            0.048477,            0.032326,           0.0076056,            0.006172,            0.006172,            0.006172
